Werder Bremen,FC Schalke 04,1-0
FC Kaiserslautern,FC Nürnberg,1-3
SC Freiburg,Hansa Rostock,0-0
Borussia Dortmund,VfL Wolfsburg,1-2
Bayer Leverkusen,Hannover 96,2-1
Hertha BSC,VfL Bochum,2-2
Hamburger SV,Bayern München,0-2
Arminia Bielefeld,Bor. Mönchengladbach,0-0
VfB Stuttgart,FSV Mainz 05,4-2
FSV Mainz 05,Hamburger SV,2-1
Bayern München,Hertha BSC,1-1
Bor. Mönchengladbach,Borussia Dortmund,2-3
Hansa Rostock,Werder Bremen,0-4
FC Schalke 04,FC Kaiserslautern,2-1
FC Nürnberg,VfB Stuttgart,1-1
VfL Bochum,Bayer Leverkusen,2-2
VfL Wolfsburg,SC Freiburg,0-1
Hannover 96,Arminia Bielefeld,0-1
FC Kaiserslautern,VfB Stuttgart,2-3
SC Freiburg,Bor. Mönchengladbach,1-1
Arminia Bielefeld,VfL Bochum,1-2
Bayer Leverkusen,Bayern München,4-1
Hertha BSC,FSV Mainz 05,1-1
Hamburger SV,FC Nürnberg,4-3
FC Schalke 04,Hansa Rostock,0-2
Borussia Dortmund,Hannover 96,1-1
Werder Bremen,VfL Wolfsburg,1-2
FSV Mainz 05,Bayer Leverkusen,2-0
Bayern München,Arminia Bielefeld,1-0
VfL Bochum,Borussia Dortmund,2-2
Bor. Mönchengladbach,Werder Bremen,3-1
VfL Wolfsburg,FC Schalke 04,3-0
VfB Stuttgart,Hamburger SV,2-0
FC Nürnberg,Hertha BSC,0-0
Hannover 96,SC Freiburg,2-2
Hansa Rostock,FC Kaiserslautern,2-3
FC Kaiserslautern,Hamburger SV,2-1
Borussia Dortmund,Bayern München,2-2
Arminia Bielefeld,FSV Mainz 05,1-1
Bayer Leverkusen,FC Nürnberg,2-2
Hansa Rostock,VfL Wolfsburg,1-2
FC Schalke 04,Bor. Mönchengladbach,3-2
Werder Bremen,Hannover 96,3-0
SC Freiburg,VfL Bochum,1-1
Hertha BSC,VfB Stuttgart,0-0
Bayern München,SC Freiburg,3-1
VfL Bochum,Werder Bremen,1-4
Hannover 96,FC Schalke 04,1-0
Bor. Mönchengladbach,Hansa Rostock,2-2
VfL Wolfsburg,FC Kaiserslautern,2-1
VfB Stuttgart,Bayer Leverkusen,3-0
FC Nürnberg,Arminia Bielefeld,1-2
FSV Mainz 05,Borussia Dortmund,1-1
Hamburger SV,Hertha BSC,2-1
FC Kaiserslautern,Hertha BSC,0-2
SC Freiburg,FSV Mainz 05,1-2
Borussia Dortmund,FC Nürnberg,2-2
Bayer Leverkusen,Hamburger SV,3-0
VfL Wolfsburg,Bor. Mönchengladbach,2-1
Hansa Rostock,Hannover 96,1-3
Werder Bremen,Bayern München,1-2
Arminia Bielefeld,VfB Stuttgart,0-2
FC Schalke 04,VfL Bochum,3-2
FSV Mainz 05,Werder Bremen,2-1
Bayern München,FC Schalke 04,0-1
VfL Bochum,Hansa Rostock,0-1
Hertha BSC,Bayer Leverkusen,3-1
Hamburger SV,Arminia Bielefeld,0-2
VfB Stuttgart,Borussia Dortmund,2-0
FC Nürnberg,SC Freiburg,3-0
Hannover 96,VfL Wolfsburg,3-0
Bor. Mönchengladbach,FC Kaiserslautern,2-0
FC Kaiserslautern,Bayer Leverkusen,0-0
Borussia Dortmund,Hamburger SV,0-2
Arminia Bielefeld,Hertha BSC,1-0
Bor. Mönchengladbach,Hannover 96,0-2
VfL Wolfsburg,VfL Bochum,3-0
Hansa Rostock,Bayern München,0-2
Werder Bremen,FC Nürnberg,4-1
SC Freiburg,VfB Stuttgart,2-0
FC Schalke 04,FSV Mainz 05,2-1
Bayern München,VfL Wolfsburg,2-0
VfL Bochum,Bor. Mönchengladbach,3-0
Hannover 96,FC Kaiserslautern,3-1
Hertha BSC,Borussia Dortmund,0-1
FSV Mainz 05,Hansa Rostock,3-1
Bayer Leverkusen,Arminia Bielefeld,3-2
Hamburger SV,SC Freiburg,4-0
VfB Stuttgart,Werder Bremen,1-2
FC Nürnberg,FC Schalke 04,0-2
SC Freiburg,Hertha BSC,1-3
Borussia Dortmund,Bayer Leverkusen,1-0
Hannover 96,VfL Bochum,3-0
Bor. Mönchengladbach,Bayern München,2-0
VfL Wolfsburg,FSV Mainz 05,4-3
FC Schalke 04,VfB Stuttgart,3-2
Werder Bremen,Hamburger SV,1-1
FC Kaiserslautern,Arminia Bielefeld,2-1
Hansa Rostock,FC Nürnberg,0-2
FSV Mainz 05,Bor. Mönchengladbach,1-1
Bayern München,Hannover 96,3-0
VfL Bochum,FC Kaiserslautern,1-1
Arminia Bielefeld,Borussia Dortmund,1-0
Bayer Leverkusen,SC Freiburg,4-1
Hertha BSC,Werder Bremen,1-1
FC Nürnberg,VfL Wolfsburg,4-0
Hamburger SV,FC Schalke 04,1-2
VfB Stuttgart,Hansa Rostock,4-0
FC Kaiserslautern,Borussia Dortmund,1-0
SC Freiburg,Arminia Bielefeld,2-3
Hannover 96,FSV Mainz 05,2-0
Bor. Mönchengladbach,FC Nürnberg,2-1
VfL Wolfsburg,VfB Stuttgart,3-0
FC Schalke 04,Hertha BSC,1-3
Werder Bremen,Bayer Leverkusen,2-2
VfL Bochum,Bayern München,1-3
Hansa Rostock,Hamburger SV,0-6
FSV Mainz 05,VfL Bochum,1-0
Bayern München,FC Kaiserslautern,3-1
Borussia Dortmund,SC Freiburg,2-0
Arminia Bielefeld,Werder Bremen,2-1
Bayer Leverkusen,FC Schalke 04,0-3
Hertha BSC,Hansa Rostock,1-1
VfB Stuttgart,Bor. Mönchengladbach,1-0
Hamburger SV,VfL Wolfsburg,3-1
FC Nürnberg,Hannover 96,1-1
FC Kaiserslautern,SC Freiburg,3-0
Bayern München,FSV Mainz 05,4-2
VfL Bochum,FC Nürnberg,3-1
Bor. Mönchengladbach,Hamburger SV,1-3
VfL Wolfsburg,Hertha BSC,2-3
Hansa Rostock,Bayer Leverkusen,0-2
Werder Bremen,Borussia Dortmund,2-0
Hannover 96,VfB Stuttgart,0-0
FC Schalke 04,Arminia Bielefeld,2-1
SC Freiburg,Werder Bremen,0-6
Arminia Bielefeld,Hansa Rostock,1-1
Bayer Leverkusen,VfL Wolfsburg,2-1
Hertha BSC,Bor. Mönchengladbach,6-0
Hamburger SV,Hannover 96,0-2
VfB Stuttgart,VfL Bochum,5-2
FC Nürnberg,Bayern München,2-2
FC Kaiserslautern,FSV Mainz 05,2-0
Borussia Dortmund,FC Schalke 04,0-1
FSV Mainz 05,FC Nürnberg,0-1
Bayern München,VfB Stuttgart,2-2
VfL Bochum,Hamburger SV,1-2
Hannover 96,Hertha BSC,0-1
Hansa Rostock,Borussia Dortmund,1-1
FC Schalke 04,SC Freiburg,1-1
Werder Bremen,FC Kaiserslautern,1-1
Bor. Mönchengladbach,Bayer Leverkusen,1-1
VfL Wolfsburg,Arminia Bielefeld,5-0
Bayern München,Hamburger SV,3-0
FC Schalke 04,Werder Bremen,2-1
FC Nürnberg,FC Kaiserslautern,1-3
Hansa Rostock,SC Freiburg,0-0
VfL Wolfsburg,Borussia Dortmund,1-2
Bor. Mönchengladbach,Arminia Bielefeld,1-0
FSV Mainz 05,VfB Stuttgart,2-3
Hannover 96,Bayer Leverkusen,0-3
VfL Bochum,Hertha BSC,2-2
Hamburger SV,FSV Mainz 05,2-1
Bayer Leverkusen,VfL Bochum,4-0
Arminia Bielefeld,Hannover 96,0-1
Borussia Dortmund,Bor. Mönchengladbach,1-1
SC Freiburg,VfL Wolfsburg,1-0
FC Kaiserslautern,FC Schalke 04,2-0
VfB Stuttgart,FC Nürnberg,2-4
Hertha BSC,Bayern München,0-0
Werder Bremen,Hansa Rostock,3-2
VfB Stuttgart,FC Kaiserslautern,1-1
Hannover 96,Borussia Dortmund,1-3
VfL Bochum,Arminia Bielefeld,1-1
Bayern München,Bayer Leverkusen,2-0
FSV Mainz 05,Hertha BSC,0-3
FC Nürnberg,Hamburger SV,1-3
Hansa Rostock,FC Schalke 04,2-2
Bor. Mönchengladbach,SC Freiburg,3-2
VfL Wolfsburg,Werder Bremen,2-3
Borussia Dortmund,VfL Bochum,1-0
SC Freiburg,Hannover 96,0-0
Werder Bremen,Bor. Mönchengladbach,2-0
FC Schalke 04,VfL Wolfsburg,3-0
FC Kaiserslautern,Hansa Rostock,2-1
Hamburger SV,VfB Stuttgart,2-1
Hertha BSC,FC Nürnberg,2-1
Bayer Leverkusen,FSV Mainz 05,2-0
Arminia Bielefeld,Bayern München,3-1
Hamburger SV,FC Kaiserslautern,2-1
VfL Bochum,SC Freiburg,3-1
Bayern München,Borussia Dortmund,5-0
FSV Mainz 05,Arminia Bielefeld,0-0
FC Nürnberg,Bayer Leverkusen,2-4
VfL Wolfsburg,Hansa Rostock,4-0
Hannover 96,Werder Bremen,1-4
VfB Stuttgart,Hertha BSC,1-0
Bor. Mönchengladbach,FC Schalke 04,1-3
Borussia Dortmund,FSV Mainz 05,3-0
SC Freiburg,Bayern München,0-1
Werder Bremen,VfL Bochum,4-0
Hansa Rostock,Bor. Mönchengladbach,0-0
FC Kaiserslautern,VfL Wolfsburg,0-0
Hertha BSC,Hamburger SV,4-1
Arminia Bielefeld,FC Nürnberg,3-1
FC Schalke 04,Hannover 96,1-0
Bayer Leverkusen,VfB Stuttgart,1-1
FSV Mainz 05,SC Freiburg,5-0
VfB Stuttgart,Arminia Bielefeld,2-1
