Ath Madrid,Malaga,2-0
Espanol,La Coruna,1-1
Numancia,Betis,1-1
Mallorca,Real Madrid,0-1
Osasuna,Ath Bilbao,1-1
Santander,Barcelona,0-2
Sevilla,Albacete,1-0
Sociedad,Levante,1-1
Zaragoza,Getafe,3-1
Valencia,Villarreal,2-1
Ath Bilbao,Valencia,2-2
Barcelona,Sevilla,2-0
Real Madrid,Numancia,1-0
Albacete,Ath Madrid,0-2
Betis,Espanol,1-4
Getafe,Mallorca,1-2
La Coruna,Osasuna,1-3
Levante,Santander,3-1
Malaga,Zaragoza,0-0
Villarreal,Sociedad,0-0
Espanol,Real Madrid,1-0
Osasuna,Betis,3-2
Valencia,Sociedad,3-1
Ath Bilbao,La Coruna,1-2
Ath Madrid,Barcelona,1-1
Mallorca,Malaga,1-2
Numancia,Getafe,1-0
Santander,Villarreal,1-1
Sevilla,Levante,3-0
Zaragoza,Albacete,4-3
Real Madrid,Osasuna,1-0
Albacete,Mallorca,0-0
Betis,Ath Bilbao,2-1
Getafe,Espanol,1-0
La Coruna,Valencia,1-5
Levante,Ath Madrid,1-0
Malaga,Numancia,4-1
Sociedad,Santander,0-1
Villarreal,Sevilla,0-0
Barcelona,Zaragoza,4-1
Ath Bilbao,Real Madrid,2-1
Ath Madrid,Villarreal,1-0
La Coruna,Betis,1-1
Espanol,Malaga,1-0
Mallorca,Barcelona,1-3
Numancia,Albacete,0-0
Osasuna,Getafe,2-1
Sevilla,Sociedad,2-1
Valencia,Santander,2-0
Zaragoza,Levante,4-3
Betis,Valencia,1-1
Sociedad,Ath Madrid,1-0
Albacete,Espanol,1-0
Barcelona,Numancia,1-0
Getafe,Ath Bilbao,3-1
Levante,Mallorca,2-0
Malaga,Osasuna,2-0
Real Madrid,La Coruna,0-1
Santander,Sevilla,0-0
Villarreal,Zaragoza,2-0
Betis,Real Madrid,1-1
Espanol,Barcelona,0-1
La Coruna,Getafe,2-1
Ath Bilbao,Malaga,1-0
Ath Madrid,Santander,1-0
Mallorca,Villarreal,1-1
Numancia,Levante,1-3
Osasuna,Albacete,3-2
Valencia,Sevilla,1-2
Zaragoza,Sociedad,2-1
Malaga,La Coruna,1-1
Real Madrid,Valencia,1-0
Albacete,Ath Bilbao,1-0
Barcelona,Osasuna,3-0
Getafe,Betis,0-2
Levante,Espanol,0-2
Santander,Zaragoza,1-0
Sevilla,Ath Madrid,2-1
Sociedad,Mallorca,2-1
Villarreal,Numancia,4-0
Ath Bilbao,Barcelona,1-1
Valencia,Ath Madrid,1-1
Betis,Malaga,1-1
Espanol,Villarreal,0-0
